trialsN,participant,trials.label,trials.cue,trials.thisRepN,trials.thisN,signalOpacity,trials.response,trialsStair
0,1,low_opac_i,Invalid,1.0,0.0,0.4,1.0,1
1,1,high_opac_v,Valid,1.0,1.0,0.0,1.0,1
2,1,low_opac_v,Valid,1.0,2.0,0.4,1.0,1
3,1,low_opac_v,Valid,2.0,3.0,0.01,0.0,2
4,1,low_opac_i,Invalid,2.0,4.0,0.0,1.0,2
5,1,high_opac_v,Valid,2.0,5.0,0.01,0.0,2
6,1,high_opac_v,Valid,3.0,6.0,0.0,1.0,3
7,1,low_opac_i,Invalid,3.0,7.0,0.0,1.0,3
8,1,low_opac_v,Valid,3.0,8.0,0.0,1.0,3
9,1,low_opac_v,Valid,4.0,9.0,0.2356115953941183,1.0,4
10,1,high_opac_v,Valid,4.0,10.0,0.0,1.0,4
11,1,low_opac_i,Invalid,4.0,11.0,0.01,0.0,4
12,1,low_opac_v,Valid,5.0,12.0,0.0,1.0,5
13,1,high_opac_v,Valid,5.0,13.0,0.0,1.0,5
14,1,low_opac_i,Invalid,5.0,14.0,0.0,1.0,5
15,1,low_opac_v,Valid,6.0,15.0,0.14081453445857,1.0,6
16,1,high_opac_v,Valid,6.0,16.0,0.0,1.0,6
17,1,low_opac_i,Invalid,6.0,17.0,0.0,1.0,6
18,1,high_opac_v,Valid,7.0,18.0,0.0,0.0,7
19,1,low_opac_i,Invalid,7.0,19.0,0.01,0.0,7
20,1,low_opac_v,Valid,7.0,20.0,0.0,1.0,7
21,1,low_opac_v,Valid,8.0,21.0,0.0693977005055356,0.0,8
22,1,high_opac_v,Valid,8.0,22.0,0.0,1.0,8
23,1,low_opac_i,Invalid,8.0,23.0,0.0655663431303109,0.0,8
24,1,low_opac_v,Valid,9.0,24.0,0.0,0.0,9
25,1,high_opac_v,Valid,9.0,25.0,0.0,1.0,9
26,1,low_opac_i,Invalid,9.0,26.0,0.0,0.0,9
27,1,high_opac_v,Valid,10.0,27.0,0.0341099414077045,0.0,10
