trialsN,participant,position,validity,Stimulus,response_key,response_rt,response_correct,confidence,confidence_rt,degrees,degrees_uncollapsed,trialsPos
1,6,-1716.0,Valid,signal,1.0,792.5261533001903,1.0,4.0,8.254931400064379,30,-30,1
2,6,1158.0,Invalid,signal,1.0,801.5019037001766,1.0,4.0,6.314007699955255,20,20,1
3,6,-1158.0,Valid,signal,1.0,808.7656439000275,1.0,2.0,3.662731199990958,20,-20,2
4,6,1158.0,Invalid,signal,1.0,813.9983887001872,1.0,4.0,3.2295044001657516,20,20,3
5,6,2274.0,Invalid,signal,0,821.1977423001081,0.0,2.0,7.764609799953178,40,40,1
6,6,-1158.0,Valid,signal,1.0,826.5420127999969,1.0,3.0,3.646628699963912,20,-20,4
7,6,2274.0,Valid,signal,0,832.4454700001515,0.0,1.0,4.446706400020048,40,40,2
8,6,-557.0,Valid,noise,0,836.9748153002001,1.0,4.0,3.812800300074741,10,-10,1
9,6,1716.0,Valid,noise,0,841.6944108000025,1.0,4.0,2.9628373999148607,30,30,2
10,6,-2274.0,Valid,signal,0,845.5342399000656,0.0,3.0,3.0466984999366105,40,-40,3
11,6,-1158.0,Valid,noise,0,850.5425937001128,1.0,3.0,3.679045000113547,20,-20,5
12,6,1716.0,Invalid,signal,1.0,853.9663561000489,1.0,4.0,2.5797931000124663,30,30,3
13,6,-557.0,Valid,signal,0,858.7175916000269,0.0,2.0,3.8630735999904577,10,-10,2
14,6,1158.0,Valid,noise,0,862.366534100147,1.0,3.0,2.512606699950993,20,20,6
15,6,-1158.0,Valid,noise,0,867.1655509001575,1.0,4.0,3.663562099914998,20,-20,7
16,6,-2274.0,Valid,noise,0,871.7101997002028,1.0,4.0,3.4788944001775235,40,-40,4
17,6,-1716.0,Valid,noise,0,876.3016259002034,1.0,3.0,3.612792100058869,30,-30,4
18,6,1158.0,Invalid,noise,0,880.4305502001662,1.0,3.0,3.0466660000383854,20,20,8
19,6,1158.0,Valid,signal,1.0,884.9744278001599,1.0,2.0,4.229501500027254,20,20,9
