trials.label,trials.startVal,trials.maxVal,trials.minVal,trials.startValSd,trials.pthreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.stepSize,trials.range,trials.cue,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepType,trials.intensity,signalOpacity,level,trials.response,stair_eye_ok,nTrial,position,validity,Stimulus,orientation,response_key,response_rt,response_correct,confidence,confidence_rt,eye_ok,trial_rep,participant,session,date,expName,psychopyVersion,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,1,0,start,lin,0.4,0.4,0.4,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,1,1,start,lin,0.01,0.01,0.01,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,1,2,start,lin,0.4,0.4,0.4,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,2,3,start,lin,0.01,0,0.01,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,2,4,start,lin,0.01,0.01,0.01,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,2,5,start,lin,0.01,0,0.01,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,3,6,start,lin,0.3144098688205103,0,0.3144098688205103,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,3,7,start,lin,0.3144098688205103,0,0.3144098688205103,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,3,8,start,lin,0.01,0,0.01,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,4,9,start,lin,0.23561159539411833,0,0.23561159539411833,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,4,10,start,lin,0.23561159539411833,0.23561159539411833,0.23561159539411833,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,4,11,start,lin,0.01,0.01,0.01,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,5,12,start,lin,0.01,0,0.01,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,5,13,start,lin,0.1841780991895161,0.1841780991895161,0.1841780991895161,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,5,14,start,lin,0.1841780991895161,0.1841780991895161,0.1841780991895161,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,6,15,start,lin,0.01,0.01,0.01,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,6,16,start,lin,0.2906212640370164,0,0.2906212640370164,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,6,17,start,lin,0.14081453445857006,0,0.14081453445857006,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,7,18,start,lin,0.06336997635913784,0,0.06336997635913784,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,7,19,start,lin,0.10410764613410528,0,0.10410764613410528,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,7,20,start,lin,0.26757657584032296,0.26757657584032296,0.26757657584032296,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,8,21,start,lin,0.06939770050553568,0.06939770050553568,0.06939770050553568,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,8,22,start,lin,0.24929274375472918,0,0.24929274375472918,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,8,23,start,lin,0.04826674546431913,0,0.04826674546431913,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,9,24,start,lin,0.23351827325587501,0,0.23351827325587501,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,9,25,start,lin,0.035516088164064354,0,0.035516088164064354,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,9,26,start,lin,0.15355165060147863,0,0.15355165060147863,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,10,27,start,lin,0.024086929870754573,0,0.024086929870754573,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,10,28,start,lin,0.1380266354329187,0.1380266354329187,0.1380266354329187,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,10,29,start,lin,0.21917709678115252,0,0.21917709678115252,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,11,30,start,lin,0.18500047044237494,0,0.18500047044237494,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,11,31,start,lin,0.01236696669668582,0,0.01236696669668582,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,11,32,start,lin,0.20666921686978187,0.20666921686978187,0.20666921686978187,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
