subjectid,degrees,validity,hitrate,falsealarms,mratio,avgcorrectconf,s,avgconf,dprimea,criterion,criteriona,dprime,metadprimeusings,mdiff,avgincorrectconf
1,10.0,Invalid,0.791666667,0.041666667,0.903190177,3.523809524,0.4496961,3.416666667,1.891443913,0.459723297,-0.020958419,2.543882198,1.714046475,-0.183722698,2.666666667
1,10.0,Valid,0.796296296,0.037037037,0.993468079,3.694736842,0.374066809,3.587962963,2.083516524,0.478845456,-0.103028949,2.61462021,1.932128745,-0.01270349,2.807692308
1,20.0,Invalid,0.916666667,0.25,1.179653759,3.2,0.766053989,3.0,2.124094295,-0.354252188,-0.5119052,2.057483877,2.349913991,0.357876943,2.0
1,20.0,Valid,0.907407407,0.101851852,0.299322078,3.179487179,0.625764892,3.12962963,2.084213413,-0.026943784,-0.248170678,2.59602781,0.748341283,-1.751779286,2.666666667
1,30.0,Invalid,0.708333333,0.125,0.239090041,2.710526316,1.119165219,2.625,1.242982792,0.300913549,0.28070617,1.698871663,0.390529663,-1.242870291,2.3
1,30.0,Valid,0.722222222,0.157407407,1.159306071,3.023668639,0.537604255,2.791666667,1.521353115,0.207857291,-0.053252364,1.594626179,1.612715029,0.221611273,1.957446809
1,40.0,Invalid,0.541666667,0.291666667,1.334287069,1.8,0.700461799,1.666666667,0.613176656,0.221944414,0.145083319,0.653155738,0.722930429,0.181120165,1.444444444
1,40.0,Valid,0.388888889,0.342592593,3.171392429,1.796460177,0.819327243,1.74537037,0.131663068,0.343806935,0.328449309,0.123181575,0.171305496,0.117289634,1.689320388
3,10.0,Invalid,0.958333333,0.125,0.810908176,2.977272727,0.946282816,2.875,2.502198665,-0.290657508,-0.275718844,2.882013776,2.146619711,-0.50056005,1.75
3,10.0,Valid,0.814814815,0.037037037,0.231501724,2.802083333,0.996521075,2.787037037,1.953688716,0.445187871,0.282866031,2.68193538,0.606419545,-2.013083823,2.666666667
3,20.0,Invalid,0.989583333,0.333333333,1.051756415,2.825,0.70852131,2.625,2.755805768,-0.940132019,-1.055066187,2.741718638,2.847217222,0.140110158,1.625
3,20.0,Valid,0.990740741,0.157407407,0.949073875,2.792929293,0.714765474,2.703703704,3.255464517,-0.674956814,-0.84166776,3.36025439,3.181048375,-0.170691103,1.722222222
3,30.0,Invalid,0.958333333,0.291666667,0.927379876,2.45,0.759186727,2.375,2.130457805,-0.591571057,-0.635173029,2.280186679,2.039963797,-0.159742979,2.0
3,30.0,Valid,0.990740741,0.259259259,1.09142787,2.540106952,0.764691476,2.407407407,3.127786389,-0.85472663,-1.019925492,3.000714759,3.301330631,0.276549314,1.551724138
3,40.0,Invalid,0.458333333,0.291666667,1.519646525,1.5,0.860206651,1.395833333,0.451034416,0.326577869,0.290990972,0.443888827,0.571312347,0.195361534,1.25
3,40.0,Valid,0.324074074,0.194444444,1.847259893,1.483606557,0.778042829,1.393518519,0.396549722,0.658985221,0.611445304,0.405297797,0.434323426,0.199205765,1.276595745
4,10.0,Invalid,0.791666667,0.041666667,0.513316835,3.238095238,0.384130281,3.208333333,1.603534311,0.459723297,-0.079299649,2.543882198,0.928010767,-0.87986052,3.0
4,10.0,Valid,0.907407407,0.046296296,1.047409869,3.63681592,0.956721032,3.518518519,2.975738476,0.178459916,0.143646238,3.006835209,3.07413157,0.139147224,1.933333333
4,20.0,Invalid,0.625,0.166666667,0.937423867,3.028571429,0.771646053,2.854166667,1.130859776,0.324391101,0.209830242,1.28606093,1.061973713,-0.070890246,2.384615385
4,20.0,Valid,0.731481481,0.166666667,0.437842107,3.201183432,0.599947444,3.12962963,1.21018488,0.175060912,0.006318524,1.584721308,0.628659105,-0.807153246,2.872340426
4,30.0,Invalid,0.416666667,0.041666667,0.731885068,2.818181818,0.818325569,2.625,1.019039832,0.971046395,0.747102975,1.521236002,0.857427663,-0.314105547,2.2
4,30.0,Valid,0.407407407,0.074074074,0.924451751,3.034722222,0.87741997,2.851851852,1.034654179,0.840161393,0.77720503,1.211884399,0.995330848,-0.081340647,2.486111111
4,40.0,Invalid,0.291666667,0.166666667,-0.49178216,2.0,0.721911151,2.083333333,-0.005274653,0.757971924,0.681852046,0.418899283,-0.076922381,-0.233337938,2.19047619
4,40.0,Valid,0.12962963,0.092592593,0.618350609,2.571428571,1.165093849,2.481481481,0.281471398,1.226550667,1.203578543,0.196814044,0.231025832,-0.142590412,2.384615385
5,10.0,Invalid,0.989583333,0.010416667,0.486691408,3.4,1.444552488,3.4,3.450608244,-6.66e-16,0.329625649,4.621982677,1.849409393,-1.950553709,
5,10.0,Valid,0.974683544,0.023809524,0.933522566,3.264150943,1.143224389,3.220858896,3.689993796,0.013087246,0.114872386,3.935330301,3.496673933,-0.249002989,1.5
5,20.0,Invalid,0.888888889,0.2,1.243909698,2.53125,1.106719331,2.368421053,2.030926221,-0.189509558,-0.104012069,2.062261582,2.352967918,0.461377296,1.5
5,20.0,Valid,0.987804878,0.128205128,0.854563329,2.677852349,1.338206446,2.60625,2.91523245,-0.558004539,-0.268800479,3.385842314,2.593028935,-0.441303159,1.636363636
5,30.0,Invalid,0.875,0.166666667,-0.319202399,1.827586207,1.217367288,1.852941176,1.208114268,-0.091463907,-0.01388582,2.117770946,-0.61435799,-2.539023942,2.0
5,30.0,Valid,0.827160494,0.135802469,0.541407899,2.328467153,0.860920582,2.25308642,1.754046492,0.078185185,0.000644166,2.042377761,1.077322006,-0.912530762,1.84
5,40.0,Invalid,0.157894737,0.176470588,4.695680733,2.117647059,1.275256534,1.916666667,0.374644662,0.96602373,0.914027933,-0.074248476,0.672909403,0.529605494,1.736842105
5,40.0,Valid,0.17721519,0.181818182,2.60562414,2.116883117,1.155311442,2.012820513,0.193076767,0.917243944,0.904442385,-0.017572151,0.292325298,0.180135173,1.911392405
6,10.0,Invalid,0.541666667,0.208333333,1.274362256,3.28125,0.628178614,3.104166667,0.813270684,0.353792173,0.207322656,0.916851257,0.893542733,0.192374185,2.75
6,10.0,Valid,0.685185185,0.111111111,1.306406601,3.223529412,0.694428514,3.023148148,1.739191552,0.369196067,0.192113035,1.702888564,1.991268959,0.467035265,2.282608696
6,20.0,Invalid,0.625,0.291666667,2.204909218,3.1875,0.713260398,3.0,1.067590325,0.114941459,0.00265668,0.867161647,1.725033129,0.942672969,2.625
6,20.0,Valid,0.407407407,0.12962963,1.52727382,3.02173913,0.690918525,2.856481481,0.844433962,0.68118142,0.579025428,0.893924451,0.953189594,0.329077807,2.564102564
6,30.0,Invalid,0.375,0.166666667,0.815841564,2.862068966,0.842116947,2.8125,0.505059066,0.643030465,0.567184866,0.648782202,0.410697269,-0.09270595,2.736842105
6,30.0,Valid,0.472222222,0.074074074,0.927734707,3.059602649,0.62378408,2.962962963,1.023727357,0.757894257,0.5431032,1.376418673,0.908330457,-0.070753811,2.738461538
6,40.0,Invalid,0.041666667,0.125,1.267994469,2.818181818,1.35795841,2.75,-0.002802453,1.441006888,1.280737692,-0.581315016,-0.093300796,-0.019719406,2.692307692
6,40.0,Valid,0.046296296,0.074074074,0.952562312,2.761904762,1.061513961,2.777777778,-0.130411332,1.563990557,1.524605971,-0.235773927,-0.124119256,0.00618115,2.792792793
7,10.0,Invalid,0.989583333,0.083333333,0.967188225,3.456521739,0.242266241,3.354166667,3.329827328,-0.463998606,-1.232447473,3.693985465,3.142895243,-0.106622443,1.0
7,10.0,Valid,0.997685185,0.002314815,0.66409804,3.791666667,0.34231251,3.791666667,4.580112572,-3.11e-15,-1.116237095,5.663468668,3.10762768,-1.571843563,
7,20.0,Invalid,0.989583333,0.083333333,0.866688435,3.195652174,0.235732657,3.145833333,3.244821009,-0.463998606,-1.208013457,3.693985465,2.810493549,-0.432302174,2.0
7,20.0,Valid,0.997685185,0.083333333,1.037826066,3.391304348,0.31478945,3.310185185,4.246362929,-0.724370104,-1.546704396,4.214728461,4.246319248,0.154767313,1.444444444
7,30.0,Invalid,0.989583333,0.083333333,0.886960434,3.108695652,0.397333693,3.020833333,3.302642509,-0.463998606,-0.994748235,3.693985465,2.987646044,-0.380763559,1.0
7,30.0,Valid,0.997685185,0.101851852,1.065779079,3.16097561,0.321490615,3.069444444,4.144357833,-0.780332106,-1.532493407,4.102804456,4.315643811,0.266358272,1.363636364
7,40.0,Invalid,0.916666667,0.166666667,0.691019512,2.452380952,0.956177405,2.354166667,2.012204931,-0.20778628,-0.200572721,2.350415693,1.523398745,-0.681168157,1.666666667
7,40.0,Valid,0.972222222,0.222222222,0.708049611,2.513227513,1.000577469,2.449074074,2.301655222,-0.574898076,-0.476270673,2.679215499,1.845539914,-0.760972235,2.0
8,10.0,Invalid,0.75,0.010416667,0.398584006,2.761904762,0.718894945,2.75,1.839875727,0.818250794,0.32654675,2.985481088,0.97019509,-1.463909326,2.666666667
8,10.0,Valid,0.722222222,0.002314815,0.752178854,2.844086022,0.362405245,2.833333333,1.873090949,1.121139268,0.247527948,3.421190132,1.527770446,-0.50335611,2.766666667
8,20.0,Invalid,0.989583333,0.041666667,0.251672777,2.234042553,0.921649253,2.208333333,3.19892259,-0.289663471,-0.308833632,4.042655734,0.912528867,-2.713325612,1.0
8,20.0,Valid,0.907407407,0.002314815,0.671535952,2.451456311,0.414816966,2.439814815,2.978930313,0.753388323,-0.131548602,4.156692023,2.090889936,-1.022703506,2.2
8,30.0,Invalid,0.625,0.125,-0.292399084,1.972222222,0.703796985,2.020833333,0.785580889,0.415855008,0.273467139,1.468988744,-0.360413235,-1.593020497,2.166666667
8,30.0,Valid,0.509259259,0.027777778,0.454429655,2.25,0.780501838,2.24537037,1.209201316,0.94564711,0.707446014,1.93771743,0.743425044,-0.892526826,2.232142857
8,40.0,Invalid,0.041666667,0.083333333,-3.074794593,1.869565217,1.092197982,1.791666667,0.196050454,1.557329262,1.408857469,-0.348670269,0.455341676,0.603430162,1.72
8,40.0,Valid,0.055555556,0.027777778,0.492427764,2.099099099,0.953803946,2.111111111,0.119322771,1.753862322,1.695568002,0.321287007,0.104461617,-0.107674303,2.123809524
9,10.0,Invalid,0.25,0.010416667,0.614807827,3.133333333,0.661922134,3.166666667,0.539169019,1.492740544,1.127433791,1.636501588,0.519174148,-0.32527533,3.222222222
9,10.0,Valid,0.175925926,0.002314815,1.265526224,3.322834646,0.560162671,3.24537037,0.885140143,1.881368822,1.592913754,1.900731024,0.843065318,0.176887643,3.134831461
9,20.0,Invalid,0.333333333,0.125,0.852679228,2.75862069,0.856309983,2.666666667,0.569361955,0.79053834,0.690715884,0.719622081,0.469534865,-0.081123401,2.526315789
9,20.0,Valid,0.462962963,0.046296296,0.995471804,2.986928105,0.650417092,2.921296296,1.162750723,0.887424684,0.703726652,1.588905672,1.150454173,-0.005233179,2.761904762
9,30.0,Invalid,0.166666667,0.125,2.942807941,2.68,1.026160936,2.520833333,0.346308448,1.058885473,1.01805109,0.182927814,0.561210523,0.37050473,2.347826087
9,30.0,Valid,0.12037037,0.037037037,0.743931764,2.871794872,0.872547967,2.865740741,0.271463388,1.479646443,1.414970697,0.613018236,0.284416858,-0.097898929,2.858585859
9,40.0,Invalid,0.041666667,0.083333333,0.434111837,2.043478261,1.031216345,2.041666667,-0.123169046,1.557329262,1.409457053,-0.348670269,-0.099674429,0.129930987,2.04
9,40.0,Valid,0.148148148,0.055555556,0.721858473,2.389830508,0.886647226,2.384259259,0.280263159,1.318813806,1.266351138,0.548810023,0.267901445,-0.103225936,2.37755102
10,10.0,Invalid,0.75,0.291666667,0.919119041,3.0,0.442551821,2.833333333,1.148833502,-0.062983734,-0.272466856,1.223012033,1.040553447,-0.091566986,2.384615385
10,10.0,Valid,0.787037037,0.203703704,0.97220578,3.099415205,0.468773095,2.962962963,1.543259628,0.016141038,-0.270914721,1.62464722,1.457827716,-0.04167758,2.444444444
10,20.0,Invalid,0.791666667,0.333333333,0.650175884,2.942857143,0.725213414,2.875,1.110277399,-0.190745251,-0.262016545,1.242945101,0.797436131,-0.429056808,2.692307692
10,20.0,Valid,0.805555556,0.240740741,0.624882702,2.958579882,0.549497689,2.875,1.390311779,-0.078856166,-0.265005035,1.565555909,0.955808355,-0.57377208,2.574468085
10,30.0,Invalid,0.833333333,0.083333333,0.477456832,2.761904762,0.511766795,2.6875,1.680924716,0.20778628,-0.100154983,2.350415693,0.944436814,-1.033620155,2.166666667
10,30.0,Valid,0.703703704,0.324074074,1.15339893,2.758389262,0.589782157,2.560185185,1.032659726,-0.039373246,-0.171962092,0.991419138,1.118627675,0.148774447,2.119402985
