da,s,meta_da,M_diff,M_ratio,c1,c1a,far,HR,meta_ca,t2ca_rS1,t2ca_rS2,S1units,logL,est_HR2_rS1,obs_HR2_rS1,est_FAR2_rS1,obs_FAR2_rS1,est_HR2_rS2,obs_HR2_rS2,est_FAR2_rS2,obs_FAR2_rS2,participant,degrees,condition,c,dprime,dprimea,ca,Hit Rate,False Alarm Rate
1.706884090070393,0.587224621561395,1.126117627880492,-0.5807664621899009,0.6597504976650467,2.0922237700247304,0.5543181666500286,0.04887218045112782,0.6654135338345865,0.3657116863121327,[-1.5142416  -0.30639059  0.14565497],[0.43033464 0.99666494 2.13128345],"{'d1': 2.3835206297436358, 'meta_d1': 1.5725289216682692, 's': 0.587224621561395, 'meta_c1': 0.5106857307618073, 't2c1_rS1': array([-2.11451153, -0.42784879,  0.20339496]), 't2c1_rS2': array([0.60092627, 1.39175909, 2.97615878])}",-297.18903345947604,"[0.9292701288434376, 0.7089852661737629, 0.1019726532336899]","[0.9199604743083004, 0.7134387351778656, 0.10375494071146245]","[0.8401515812363702, 0.5460742456202389, 0.1015464866136867]","[0.8623595505617978, 0.5224719101123596, 0.09269662921348315]","[0.9628810694209272, 0.6399044967688066, 0.17585019093654022]","[0.9646892655367232, 0.635593220338983, 0.1709039548022599]","[0.8496533989344328, 0.15106363287873412, 0.0008645076469784793]","[0.8269230769230769, 0.19230769230769232, 0.019230769230769232]",12,30,NF,0.6299471651447202,2.086256926648754,1.4940079441556682,0.4511170494404824,0.6666666666666666,0.045454545454545456
2.419537375481156,0.5135675157962143,1.555889704457091,-0.863647671024065,0.6430525604704421,1.966411421039198,0.4310739918728758,0.02631578947368421,0.8233082706766918,0.27720323422606735,[-1.17892028 -0.44820471  0.14349246],[0.31463031 0.53535078 1.44122094],"{'d1': 3.744989889297226, 'meta_d1': 2.4082253372484987, 's': 0.5135675157962143, 'meta_c1': 0.4290585960676342, 't2c1_rS1': array([-1.8247474, -0.6937368,  0.2220994]), 't2c1_rS2': array([0.48698868, 0.82862257, 2.2307396 ])}",-297.7256209911955,"[0.9729263028081238, 0.732628585300489, 0.2818556495997966]","[0.9681467181467182, 0.7355212355212355, 0.28667953667953666]","[0.8891261171882024, 0.47744374918618615, 0.173503475662889]","[0.9095744680851063, 0.43617021276595747, 0.13297872340425532]","[0.9831548665246014, 0.880490514225877, 0.4567166815728227]","[0.980593607305936, 0.8698630136986302, 0.4486301369863014]","[0.8866035727926667, 0.41079814794917285, 0.005787949600554428]","[0.9642857142857143, 0.6428571428571429, 0.03571428571428571]",12,20,NF,0.5314456651353328,3.399875750292357,2.1965684001801367,0.3433527693912359,0.8257575757575758,0.022727272727272728
3.9546273444072257,2.499942360618233,-0.5796684565210168,-4.534295800928243,-0.14657979274350705,0.18146907922051456,0.170198748019997,0.011278195488721804,0.9661654135338346,-0.02494769720997554,[-0.50487574 -0.069524   -0.0274174 ],[-0.02050634 -0.00529741  0.09081572],"{'d1': 3.0117640353329267, 'meta_d1': -0.44146374809144884, 's': 2.499942360618233, 'meta_c1': -0.018999660569191362, 't2c1_rS1': array([-0.38450313, -0.05294807, -0.02088054]), 't2c1_rS2': array([-0.01561721, -0.0040344 ,  0.06916341])}",-193.44059316746961,"[0.9982013422579435, 0.9676661926403004, 0.672420786842526]","[0.9990494296577946, 0.967680608365019, 0.6625475285171103]","[0.9976134904168273, 0.9560954231425591, 0.49224442542331154]","[0.9722222222222222, 0.9444444444444444, 0.6944444444444444]","[0.9903451184929389, 0.9576025894647591, 0.763183114805388]","[0.9990272373540856, 0.9669260700389105, 0.7714007782101168]","[0.9977944526742482, 0.9902285919106032, 0.9419998724838601]","[0.25, 0.16666666666666666, 0.08333333333333333]",12,10,NF,0.2761892623988419,0.3785888769652935,0.49710996863333995,0.36265311508488934,0.9696969696969697,0.007575757575757576
-0.1101863377409768,0.8924899714911146,-0.09970963586161426,0.010476701879362546,0.9049183220519507,3.9915246672615456,1.772591539645676,0.03383458646616541,0.041353383458646614,1.6040505617396486,[-1.35330643 -0.13619281  0.59984118],[2.64513006 2.77822679 2.99424105],"{'d1': -0.11701125896188147, 'meta_d1': -0.10588563212097206, 's': 0.8924899714911146, 'meta_c1': 1.703405154538223, 't2c1_rS1': array([-1.43712997, -0.14462857,  0.63699523]), 't2c1_rS2': array([2.80896893, 2.95030964, 3.17970379])}",-333.273032808289,"[0.7578643178640121, 0.4436155576166336, 0.07164347059609]","[0.835603112840467, 0.4688715953307393, 0.08657587548638132]","[0.7763903835121729, 0.49643084368256213, 0.11507742755540383]","[0.6931372549019608, 0.4647058823529412, 0.09509803921568627]","[0.090966242574989, 0.06285892313342899, 0.03344517974498345]","[0.06818181818181818, 0.045454545454545456, 0.022727272727272728]","[0.05918995155293239, 0.03806934925519794, 0.017880263489384846]","[0.08333333333333333, 0.05555555555555555, 0.027777777777777776]",12,40,NF,1.826104487854341,0.1447431301081398,0.13630069073077167,1.7195932052536955,0.03787878787878788,0.030303030303030304
1.0560800901490122,0.9014980548545365,1.2383095133755735,0.18222942322656133,1.172552654790461,-0.19587621083001153,-0.08793617635219804,0.33146067415730335,0.7298850574712644,-0.10310979703389196,[-1.96597836 -1.03296578 -0.24155199],[0.06517898 0.70119243 1.8127183 ],"{'d1': 1.1152696403509499, 'meta_d1': 1.307712377600709, 's': 0.9014980548545365, 'meta_c1': -0.10888873611699505, 't2c1_rS1': array([-2.07616449, -1.09085985, -0.25509013]), 't2c1_rS2': array([0.06883203, 0.74049178, 1.91431474])}",-201.9437827469232,"[0.926256606151692, 0.46817805660331724, 0.10955602565579398]","[0.9138655462184874, 0.49159663865546216, 0.10294117647058823]","[0.8390351499620816, 0.2354128606613235, 0.02816952015560074]","[0.8670212765957447, 0.18085106382978725, 0.047872340425531915]","[0.9295760724677178, 0.6217230480808836, 0.1696148259524428]","[0.9350393700787402, 0.6023622047244095, 0.17519685039370078]","[0.8021351702446342, 0.27862626620840736, 0.01745321518673441]","[0.7923728813559322, 0.3135593220338983, 0.00423728813559322]",15,30,NF,-0.08969981218745943,1.1740062595651535,1.1116994416228536,-0.08493926698432513,0.7325581395348837,0.32954545454545453
1.5396582831504344,0.9644848912161563,1.8833578930315285,0.34369960988109405,1.2232310985122095,-0.5475471423562556,-0.2639210461794873,0.3081395348837209,0.848314606741573,-0.32283643123862593,[-2.06972851 -1.05677086 -0.38872704],[-0.06931602  0.77663321  2.05988716],"{'d1': 1.5682618259860517, 'meta_d1': 1.9183466361556818, 's': 0.9644848912161563, 'meta_c1': -0.32883403849400783, 't2c1_rS1': array([-2.10817962, -1.07640339, -0.39594875]), 't2c1_rS2': array([-0.07060377,  0.79106138,  2.09815544])}",-194.08901667119454,"[0.9695490893404995, 0.6161473799577589, 0.1702675641281499]","[0.9810924369747899, 0.6428571428571429, 0.15336134453781514]","[0.8929443736662485, 0.23168703636209256, 0.014440363306280634]","[0.8425925925925926, 0.16666666666666666, 0.08333333333333333]","[0.9403811122504752, 0.6320792644313065, 0.15229220756109563]","[0.945364238410596, 0.652317880794702, 0.13410596026490065]","[0.7081435064317467, 0.15152690813920652, 0.0042257476604507785]","[0.6933962264150944, 0.12264150943396226, 0.04245283018867924]",15,20,NF,-0.26933730095033126,1.675465413538041,1.64490658341693,-0.2644248552749298,0.8522727272727273,0.3058823529411765
1.8637097361927772,0.9529866518070574,2.415572842639533,0.5518631064467556,1.2961100088333029,-0.1771394785408852,-0.08433243597106604,0.19886363636363635,0.8448275862068966,-0.10930411433139235,[-2.38009868 -1.06048553 -0.26792309],[0.17272503 1.02467814 2.3156151 ],"{'d1': 1.910233835241427, 'meta_d1': 2.47587319306844, 's': 0.9529866518070574, 'meta_c1': -0.11203269128885725, 't2c1_rS1': array([-2.43951349, -1.08695861, -0.2746113 ]), 't2c1_rS2': array([0.1770368 , 1.05025735, 2.37342019])}",-192.81680925239672,"[0.9567890717416634, 0.6437584243877148, 0.13192798994718774]","[0.9698581560283688, 0.6418439716312057, 0.12943262411347517]","[0.7538344097363422, 0.13476384166209157, 0.0023067857726816817]","[0.6944444444444444, 0.16666666666666666, 0.009259259259259259]","[0.9368732080719411, 0.6338061785284939, 0.1549662935684449]","[0.9574829931972789, 0.6292517006802721, 0.15136054421768708]","[0.6036608648942217, 0.0850334434679411, 0.0011706072979091437]","[0.5357142857142857, 0.12857142857142856, 0.007142857142857143]",15,10,NF,-0.08664997957744924,2.0601328868144666,2.009957968586498,-0.08453960326746456,0.8488372093023255,0.19540229885057472
0.5200555606850726,1.025716404215668,0.31404045517763296,-0.20601510550743968,0.6038594314114157,0.08618951851294862,0.044192316729855914,0.3806818181818182,0.5852272727272727,0.026685947253243986,[-2.12993814 -0.82247827 -0.23775206],[0.36180439 1.02001748 1.82353919],"{'d1': 0.5135776144466704, 'meta_d1': 0.31012868624539763, 's': 1.025716404215668, 'meta_c1': 0.026353540209274235, 't2c1_rS1': array([-2.10340708, -0.81223327, -0.23479055]), 't2c1_rS2': array([0.35729766, 1.00731188, 1.80082472])}",-212.99762595872133,"[0.8186078801326264, 0.4467569806247156, 0.044908867688832545]","[0.8325688073394495, 0.44495412844036697, 0.0389908256880734]","[0.7701332346806432, 0.35879850237645144, 0.0229373525250787]","[0.75, 0.363013698630137, 0.030821917808219176]","[0.756241264390349, 0.34571735838085355, 0.08270819807125067]","[0.7645631067961165, 0.3737864077669903, 0.06067961165048544]","[0.7107120864079404, 0.28629829830997433, 0.05896716119335245]","[0.6977611940298507, 0.2462686567164179, 0.09328358208955224]",15,40,NF,0.04474709563687862,0.4473345267747458,0.45297692421091523,0.04531150746423728,0.5862068965517241,0.3793103448275862
0.6559557617687582,1.1270215034771247,0.23158479812269628,-0.42437096364606197,0.3530494152505608,-0.2338400671709512,-0.1310679614460163,0.4189189189189189,0.6801801801801802,-0.04627346714659911,[-1.15616337 -0.55020677 -0.27563399],[0.31526793 0.50311018 1.17098495],"{'d1': 0.6200936092340158, 'meta_d1': 0.21892368614067903, 's': 1.1270215034771247, 'meta_c1': -0.0437436225536527, 't2c1_rS1': array([-1.09295407, -0.52012609, -0.26056464]), 't2c1_rS2': array([0.29803173, 0.47560434, 1.10696533])}",-297.136744880941,"[0.8360855571863665, 0.6473965715020119, 0.30916562955891275]","[0.8275193798449613, 0.686046511627907, 0.29651162790697677]","[0.7841546296821285, 0.5539109594876388, 0.20323022093301582]","[0.7992957746478874, 0.4859154929577465, 0.22887323943661972]","[0.731430722892914, 0.5978991660559317, 0.22946801539149836]","[0.706953642384106, 0.5860927152317881, 0.24006622516556292]","[0.7214478202457922, 0.589385753233546, 0.23619852992163337]","[0.760752688172043, 0.6075268817204301, 0.21774193548387097]",16,30,NF,-0.13312104828671617,0.488350698179461,0.5165937036995364,-0.14081989773162534,0.6818181818181818,0.41818181818181815
1.358237638897245,0.9515167413296284,1.199918661008653,-0.15831897788859206,0.883437939463133,-0.7822550365522564,-0.37181994543441993,0.38288288288288286,0.8513513513513513,-0.32847984644587847,[-1.06485006 -0.51542775 -0.37642492],[-0.10692478  0.17784684  1.06611857],"{'d1': 1.3932710044871557, 'meta_d1': 1.2308684653178623, 's': 0.9515167413296284, 'meta_c1': -0.33695240987653063, 't2c1_rS1': array([-1.092316  , -0.52872231, -0.38613414]), 't2c1_rS2': array([-0.10968272,  0.18243409,  1.09361724])}",-256.53867378291915,"[0.9688416530330426, 0.8767728231180858, 0.5194918811490316]","[0.9543795620437956, 0.8795620437956204, 0.5127737226277372]","[0.9335617075634967, 0.7573334305549605, 0.2855422358794084]","[0.9924242424242424, 0.7424242424242424, 0.3106060606060606]","[0.9233140630385419, 0.8070479345061514, 0.3969662952249307]","[0.9351851851851852, 0.7962962962962963, 0.40343915343915343]","[0.7852904341560019, 0.5443553210082988, 0.1120121106405359]","[0.7617647058823529, 0.5705882352941176, 0.09705882352941177]",16,20,NF,-0.3777101827711317,1.3345030723035145,1.3009474080699959,-0.36821277783164996,0.8545454545454545,0.38181818181818183
