,dprime,meta_d,m_ratio,m_diff,participant,degrees,validity,criterion_manual,dprime_manual,dprime_metadpy,criterion_metadpy,Hit Rate,False Alarm Rate
0,1.557070758,1.456095622,0.93515058,-0.100975136,1,30,Valid,0.207857291,1.594626179,1.594626179,0.207857291,0.722222222,0.157407407
0,1.522478456,0.454543003,0.298554637,-1.067935454,1,30,Invalid,0.300913549,1.698871663,1.698871663,0.300913549,0.708333333,0.125
0,2.500201262,2.125370048,0.850079584,-0.374831213,1,10,Valid,0.478845456,2.61462021,2.61462021,0.478845456,0.796296296,0.037037037
0,2.16239279,1.529769179,0.707442786,-0.632623611,1,10,Invalid,0.459723297,2.543882198,2.543882198,0.459723297,0.791666667,0.041666667
0,2.512928771,0.670789442,0.266935319,-1.842139329,1,20,Valid,-0.026943784,2.59602781,2.59602781,-0.026943784,0.907407407,0.101851852
0,1.813520807,2.314153997,1.276055939,0.50063319,1,20,Invalid,-0.354252188,2.057483877,2.057483877,-0.354252188,0.916666667,0.25
0,2.725012499,3.209440148,1.177770799,0.484427649,3,30,Valid,-0.85472663,3.000714759,3.000714759,-0.85472663,0.990740741,0.259259259
0,1.928479096,1.864078742,0.966605625,-0.064400354,3,30,Invalid,-0.591571057,2.280186679,2.280186679,-0.591571057,0.958333333,0.291666667
0,2.565172772,0.587951196,0.2292053,-1.977221576,3,10,Valid,0.445187871,2.68193538,2.68193538,0.445187871,0.814814815,0.037037037
0,2.446153105,1.883721529,0.770075072,-0.562431576,3,10,Invalid,-0.290657508,2.882013776,2.882013776,-0.290657508,0.958333333,0.125
0,3.072459827,3.141104634,1.022341971,0.068644807,3,20,Valid,-0.674956814,3.36025439,3.36025439,-0.674956814,0.990740741,0.157407407
0,2.164550334,2.636392476,1.217986218,0.471842142,3,20,Invalid,#NAME?,inf,2.467561431,-0.803053416,1,0.333333333
0,1.163061079,0.925624067,0.79585164,-0.237437012,4,30,Valid,0.840161393,1.211884399,1.211884399,0.840161393,0.407407407,0.074074074
0,1.23204873,0.735276121,0.596791428,-0.496772609,4,30,Invalid,0.971046395,1.521236002,1.521236002,0.971046395,0.416666667,0.041666667
0,2.883844221,3.001619533,1.040839693,0.117775312,4,10,Valid,0.178459916,3.006835209,3.006835209,0.178459916,0.907407407,0.046296296
0,2.16239279,0.163899926,0.075795631,-1.998492864,4,10,Invalid,0.459723297,2.543882198,2.543882198,0.459723297,0.791666667,0.041666667
0,1.548027979,0.448377773,0.289644489,-1.099650206,4,20,Valid,0.175060912,1.584721308,1.584721308,0.175060912,0.731481481,0.166666667
0,1.162805005,0.894884341,0.769591064,-0.267920665,4,20,Invalid,0.324391101,1.28606093,1.28606093,0.324391101,0.625,0.166666667
0,1.972587194,0.934242423,0.473612739,-1.038344771,5,30,Valid,0.078185185,2.042377761,2.042377761,0.078185185,0.827160494,0.135802469
0,1.8090428,-0.695980896,-0.384723289,-2.505023696,5,30,Invalid,-0.091463907,2.117770946,2.117770946,-0.091463907,0.875,0.166666667
